"id","name","description","invoice_label","type_tax_use","tax_scope","amount_type","amount","sequence","is_vat","is_exempt","tax_group_id","perception_id","retention_id","repartition_line_ids/document_type","repartition_line_ids/repartition_type","repartition_line_ids/account_id","repartition_line_ids/factor_percent"
"tax_percepcion_iibb_caba_efectuada","Percepción IIBB CABA Efectuada","Percepción IIBB CABA Efectuada","Percepción IIBB CABA Efectuada","sale","","perception","0.0","1","False","False","tax_group_perception_iibb_caba","l10n_ar.perception_perception_iibb_caba_efectuada","","invoice","base","","0.0"
"","","","","","","","","","","","","","","refund","base","","0.0"
"","","","","","","","","","","","","","","invoice","tax","percepciones_a_depositar_imp_ingresos_brutos_caba","100.0"
"","","","","","","","","","","","","","","refund","tax","percepciones_a_depositar_imp_ingresos_brutos_caba","100.0"
"tax_percepcion_iibb_pba_sufrida","Percepciones IIBB PBA Sufrida","Percepciones IIBB PBA Sufrida","Percepciones IIBB PBA Sufrida","purchase","","perception","0.0","1","False","False","tax_group_perception_iibb_pba","l10n_ar.perception_perception_iibb_pba_sufrida","","invoice","base","","0.0"
"","","","","","","","","","","","","","","refund","base","","0.0"
"","","","","","","","","","","","","","","invoice","tax","imp_ingresos_brutos_percepciones_sufridas_pcia_ba","100.0"
"","","","","","","","","","","","","","","refund","tax","imp_ingresos_brutos_percepciones_sufridas_pcia_ba","100.0"
"tax_percepcion_iibb_pba_efectuada","Percepciones IIBB PBA Efectuada","Percepciones IIBB PBA Efectuada","Percepciones IIBB PBA Efectuada","sale","","perception","0.0","1","False","False","tax_group_perception_iibb_pba","l10n_ar.perception_perception_iibb_pba_efectuada","","invoice","base","","0.0"
"","","","","","","","","","","","","","","refund","base","","0.0"
"","","","","","","","","","","","","","","invoice","tax","percepciones_a_depositar_imp_ingresos_brutos_pcia_ba","100.0"
"","","","","","","","","","","","","","","refund","tax","percepciones_a_depositar_imp_ingresos_brutos_pcia_ba","100.0"
"tax_percepcion_iibb_tucuman_sufrida","Percepciones IIBB Tucuman Sufrida","Percepciones IIBB Tucuman Sufrida","Percepciones IIBB Tucuman Sufrida","purchase","","perception","0.0","1","False","False","tax_group_perception_iibb_tucuman","l10n_ar.perception_perception_iibb_tucuman_sufrida","","invoice","base","","0.0"
"","","","","","","","","","","","","","","refund","base","","0.0"
"","","","","","","","","","","","","","","invoice","tax","imp_ingresos_brutos_percepciones_sufridas_tucuman","100.0"
"","","","","","","","","","","","","","","refund","tax","imp_ingresos_brutos_percepciones_sufridas_tucuman","100.0"
"tax_percepcion_iibb_tucuman_efectuada","Percepción IIBB Tucuman Efectuada","Percepción IIBB Tucuman Efectuada","Percepción IIBB Tucuman Efectuada","sale","","perception","0.0","1","False","False","tax_group_perception_iibb_tucuman","l10n_ar.perception_perception_iibb_tucuman_efectuada","","invoice","base","","0.0"
"","","","","","","","","","","","","","","refund","base","","0.0"
